Variable,box0,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,box15,box16,box17,box18,box19,box20,box21,box22,box23,box24,box25,box26,box27,box28,box29,box30,box31,box32,box33,box34,box35,box36,box37,box38,box39,box40,box41,box42,box43,box44,box45,box46,box47,box48,box49,box50,box51,box52,box53,box54,box55,box56,box57,box58,box59,box60,box61,box62,box63,box64,box65,box66,box67,box68,box69,box70,box71,box72,box73,box74,box75,box76,box77,box78,box79,box80,box81,box82,box83,box84,box85,box86,box87,box88,box89,box90,box91,box92,box93,box94,box95,box96,box97,box98,box99,box100,box101,box102,box103,box104,box105,box106,box107,box108,box109,box110,box111,box112,box113,box114,box115,box116,box117,box118,box119,box120,box121,box122,box123,box124,box125,box126,box127,box128,box129
reef,NA,0.04,NA,0.02,NA,0.05,0.05,0.1,0.1,0.04,0.02,0.02,NA,0.15,0.05,0.01,0.01,NA,0.01,0.01,0.2,0.02,NA,0.02,NA,NA,0.01,NA,0.02,NA,NA,0.01,0.01,0.08,0.1,0.09,0.35,0.1,0.08,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.05,NA,0.005,NA,0.08,0.08,0.08,NA,0.08,NA,0.08,NA,NA,NA,0.04,0.04,0.04,0.04,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,NA,0.1,NA,0.05,0.05,0.05,NA,0.05,NA,0.05,NA,0.05,NA,NA,0.02,0.03,0.05,0.05,0.05,0.05,0.05,0.01,0.01,NA,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,NA,NA,NA,NA,0.01
flat,0.4,0.38,0.4,0.39,0.4,0.35,0.4,0.35,0.15,0.56,0.38,0.52,NA,0.17,0.2,0.09,0.09,NA,0.09,0.09,0.15,0.08,NA,0.28,NA,NA,0.09,NA,0.24,NA,NA,0.09,0.09,0.58,0.45,0.61,0.6,0.6,0.42,0.58,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,NA,0.15,0.15,NA,0.195,NA,0.1,0.1,0.1,NA,0.1,NA,0.1,NA,NA,NA,0.16,0.16,0.16,0.16,NA,NA,NA,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,NA,0.25,NA,0.25,0.25,0.25,NA,0.25,NA,0.25,NA,0.25,NA,NA,0.18,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.19,NA,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,NA,NA,NA,NA,0.19
soft,0.6,0.58,0.6,0.59,0.6,0.6,0.55,0.55,0.75,0.4,0.6,0.46,NA,0.68,0.75,0.9,0.9,NA,0.9,0.9,0.65,0.9,NA,0.7,NA,NA,0.9,NA,0.74,NA,NA,0.9,0.9,0.34,0.45,0.3,0.05,0.3,0.5,0.32,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.9,NA,0.8,0.8,NA,0.8,NA,0.82,0.82,0.82,NA,0.82,NA,0.82,NA,NA,NA,0.8,0.8,0.8,0.8,NA,NA,NA,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,NA,0.65,NA,0.7,0.7,0.7,NA,0.7,NA,0.7,NA,0.7,NA,NA,0.8,0.78,0.75,0.75,0.75,0.75,0.75,0.8,0.8,NA,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,NA,NA,NA,NA,0.8
Rugosity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Si,0.060658794672,0.05383875555,0.067795784304,0.030217657185,0.09653790135,0.110010123615,0.110069034,0.05010668787,0.09124607766,0.1241836533,0.12110893845,0.128695598985,0.0014329495924,0.091945910565,0.043172605545,0.0119926166775,0.01545418107,0.006115754586,0.01291745355,0.046569888105,0.0924461306508,0.0562857483,0.0102584115,0.0104409705,0.00327089556,0.001581307334,0.04196455647,0.002293025298,0.02287894922,4.624037514849E-16,0.00253251462,0.027500898405,0.03521010752,0.14501560122,0.12345411945,0.1396758909,0.087196427535,0.09692127525,0.06568266856,0.10588759032,0.1317702787275,0.0202150319085,0.009862969982,0.00297656762085,0.0045043989768,0.00700914216,0.0023668423275,0.00274798254792,0.0101278116,0.0307008066,0.004157168014,0.003550351260002,0.004885349055,0.0142213461,0.04627177862,0.0367257217,0.009211295205,0.0436779429,0.05262824895,0.001665939814,0.06156577587,0.006979436534,0.0340486578,0.066140184819,0.0858196321548,0.003031982001,0.0726430347,0.01022667432,0.10965125475,0.0014886277469,0.00885120928,0.03424652367,0.04332630618,0.02990793882,0.038567639028,0.01978583804,0.00578683944,0.01009775958,0.004987216977,0.1279766676,0.048840655248,0.06740696172,0.066834175836,0.025350685736,0.04979572904,0.02613463153,0.03109372974,0.0018839695596,0.052532447604,0.0036949436052,0.049630714428,0.0252386918748,0.036306996888,0.002164082472,0.04012983852,0.001771496364,0.04469016234,0.00436470483,0.033591923268,0.00296349429,0.004060177694,0.044499626916,0.032588579004,0.02667762753,0.02374587042,0.021755242403,0.011930736198,0.00098942297,0.02819829719,0.03177701531,0.002306338062,0.04488184929,0.02597940957,0.03711522771,0.03496182728,0.1115753798,0.0815504042775,0.066004234536,0.03110636844,0.0820967823,0.095311750848,0.093490317576,0.091213273212,0.06674847870936,0.07580055644,0.0040436186565,0.0011419318224,0.0013260453825,0.0053604448095,0.10692452544
NH3,3.80626682451912,3.67073699265,4.2815407683335,3.020131106928,5.80311137133,5.312689447572,6.65154633195,3.977672945454,4.80178491741,6.46068529431,6.70303385154,5.496188191416,0.1698938561736,5.19218404263,5.6686937346,3.3989717459529,5.75677558404,0.203464473965998,5.25342153492,8.4234654972,6.36158074734936,6.6346787940264,2.10989409228,2.23683958836,0.435865504464,0.359577857808,7.2842514381,0.97336234008,5.1237454788,1.58651333526114E-13,0.4172903163,5.63978868453,5.68355002488,7.602342381504,6.77226717297,8.1605142684,4.90452152931,5.1407476146,3.614047784568,5.64534063405,4.5541710343116,1.185723131931,0.828970211628,0.3358859634468,0.29138620245696,0.48357593856,0.226358176238999,0.24407456637096,0.35597192904,1.29527322912,0.245529574523981,0.166515909300087,0.397127032146,0.70990019568,2.897664637608,2.87271946728,0.382548055499997,6.1715198376,6.52586109435,0.243950277636,4.164348732804,1.203423660972,7.302622260024,4.308993196794,7.16657906016,1.305692501256,6.76094187717,1.255196441772,6.1945110396,0.582475574304,0.839072716092,2.920825293282,10.0453670694,8.15976492552,8.332188722208,3.72911051916,2.17361804049,4.66262853849,1.989603697653,8.3027616867,6.0127933475376,9.58402731312,9.25193217312,6.0194305101762,8.290740978,5.7210483915,6.41045661399,0.6116415887088,7.8001484652,1.2089036281608,8.61781779144,5.2426742549688,6.403938750144,1.121688802494,6.9077604573432,0.637254809568,5.110717131,1.06387955388,5.889112942752,1.696656188214,1.56822137316,6.625648871712,5.35407190812,6.60468259854,7.6209873948,7.2420157485,6.45514044084,0.925387932924,6.13470836862,6.8135562495,0.95073303663,5.39381262654,6.86101179348,6.01966152918,5.43237540066,5.616097812,4.5874524596823,4.4971669886832,5.8261976604,5.93336504592,5.352750339768,3.9602151297072,4.3788917303352,1.79493437449282,7.5189461958,0.593563010507999,0.387463063572001,0.6881797826982,0.314961159591,1.3477262088888
Det_Si,321.61615632,280.9681311,408.403244448,206.76702555,491.23186365,340.58178954,468.59876055,267.778453995,309.76681335,394.9663965,426.499953,325.26860019,7.053302714,247.850173125,230.43228915,113.8642039005,203.5406463,26.6021464049998,184.47615036,335.2429218,272.3340060036,285.3350210208,89.66858066,78.50556591,15.60907536,14.92901968,308.7479937,36.689678,187.876616,5.849096201685E-12,15.4936419,213.36021405,204.2395196,447.6459024,381.7350819,447.94712475,283.04621424,311.2041144,192.29154796,315.093814755,250.2550579395,69.014239242,42.42802228,24.6526114827,17.4087026616,27.79334388,10.9479227999999,18.6490141248,19.96802256,73.0067484,13.9746573999989,9.17302803000472,20.2907307,37.4793627,150.803096,137.59078626,38.4451700249998,304.7724204,315.33907575,12.0193362936,229.25239629,60.95382874,410.828639064,224.243637351,382.9071275316,62.98805091,349.3954572,62.01360714,346.9828698,34.678809339,45.06951058,154.39786995,559.9997325,462.04390944,465.400523472,180.2531394,110.76037089,235.86833445,102.536242413,461.66994435,320.142989448,565.8121302,549.4014804,345.289068674,547.2018785,363.74716915,434.36932253,38.1375412584,548.75943444,72.8055346788001,596.3893584,349.2682332372,455.62569672,66.20249361,473.477888556,38.19035979,319.426759,59.43531234,469.3226772,99.55237173,103.03966992,486.31246032,382.440152844,492.7852535,487.11305175,578.5687914,573.3546255,41.9572073,540.4022579,636.1783265,72.286960392,435.314276,589.5705457,509.8091143,424.93401807,412.3183954,340.507712715,387.0419316,413.2583402,448.30943415,446.555379192,385.13292618,332.801012616,266.39348109504,680.1638111,40.6319459849999,27.3542473560001,53.736480381,27.34115928,411.15207744
Dungeness_crabs_N,NA,51.7647058823529,66.6666666666667,51.7647058823529,66.6666666666667,51.7647058823529,66.6666666666667,51.7647058823529,51.7647058823529,66.6666666666667,66.6666666666667,66.6666666666667,NA,51.7647058823529,50,45,51.7647058823529,NA,45,51.7647058823529,51.7647058823529,51.7647058823529,NA,51.7647058823529,NA,NA,51.7647058823529,NA,50,NA,NA,50,50,54.5454545454546,54.5454545454546,54.5454545454546,54.5454545454546,54.5454545454546,54.5454545454546,54.5454545454546,54.5454545454546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,45,NA,51.7647058823529,51.7647058823529,NA,51.7647058823529,NA,51.7647058823529,54.5454545454546,54.5454545454546,NA,51.7647058823529,NA,54.5454545454546,NA,NA,NA,45,45,45,45,NA,NA,NA,55,66.6666666666667,55,55,66.6666666666667,NA,66.6666666666667,66.6666666666667,NA,55,NA,55,66.6666666666667,66.6666666666667,NA,55,NA,66.6666666666667,NA,66.6666666666667,NA,NA,55,66.6666666666667,24.7619047619048,24.7619047619048,24.7619047619048,24.7619047619048,24.7619047619048,24.7619047619048,NA,NA,24.7619047619048,NA,24.7619047619048,24.7619047619048,24.7619047619048,24.7619047619048,24.7619047619048,24.7619047619048,24.7619047619048,24.7619047619048,24.7619047619048,24.7619047619048,24.7619047619048,NA,NA,NA,NA,NA,NA
DON,0.3822098432148,0.17119408941,0.3324224397834,0.32290790557725,0.3191290029675,0.239562332847,0.3105842156325,0.209179597993425,0.2437890646725,0.30894718257,0.33796346229,0.28326740384025,0.0115076946195,0.337504462731,0.3149509444245,0.144618879857625,0.34403116473,0.0087360488235,0.227224531152,0.4140510081975,0.32272835228928,0.28035653284692,0.05993513619,0.189774677295,0.037874396934,0.012286350417,0.225406321425,0.042265590762,0.37443877665,9.29487797823915E-15,0.0213340950045,0.258029326395,0.38326953411,0.367106362578,0.350140186935,0.430444800045,0.2377682846775,0.24953776452,0.290916497727,0.2739435288345,0.2381915111247,0.06728682114675,0.057670066044,0.01573386057432,0.01443413125854,0.02521486134,0.0196651966995,0.01044414627912,0.02395846035,0.0862112385,0.017179917884999,0.008770995540005,0.027819127071,0.047038000275,0.250347631914,0.23108953995,0.0126881792955,0.34300307295,0.355466934945,0.0169776844815,0.22444927863075,0.0899388742533,0.34702654514778,0.285595341891975,0.39841340446692,0.110092521933,0.2971328812875,0.095165394987,0.32148457974,0.031737535712415,0.059159211699,0.165604155507,0.3442654267875,0.25244120215764,0.29817208878462,0.14802514005,0.112752439784775,0.2095657942275,0.10501850381445,0.3765186548775,0.22411128155238,0.3144513114288,0.348925665978,0.24044729342793,0.2697429195045,0.22994875726515,0.245299665557115,0.034801021327806,0.280711636308,0.0758349910998,0.2925339354162,0.201562524403344,0.24510979003158,0.076100782239,0.28268064496854,0.045527657814,0.26097143373,0.058974510015,0.223385776792614,0.1162413931995,0.082109889984,0.23636322217638,0.20689366883634,0.2211717505164,0.286997283,0.2191068314445,0.203397313581,0.0519622237404,0.21858360416265,0.2197810999758,0.039450438871853,0.1649694092142,0.192081253962,0.16136512346445,0.18012595423395,0.27907556037,0.213247458824175,0.1192202961354,0.23967471327,0.2146957481025,0.1720368165222,0.129438155772,0.19661819964264,0.092484274399722,0.171689646456,0.0365251175163,0.0206438588352,0.029671458193047,0.00936197322975,0.184649205564
NO3,192.990755682,174.273462405,253.6641103266,121.26720726,307.338513075,210.418171956,292.043196675,164.0295923265,191.6148075075,243.1349517825,264.3691089825,200.3922461295,4.2729399288,153.870462783,153.424489455,70.3088297019,125.73394389,15.2812046497499,115.022179998,216.548484345,172.09812104676,186.2590516218,59.91039102,48.4506460035,9.70104042,9.963339222,206.42093991,23.582427144,119.89548444,3.6960349946472E-12,9.83830608,137.4572016225,127.81720707,271.32518637,227.79796545,264.99835998,171.2521471815,191.2821483825,116.88871284,188.41347117225,150.954817605975,41.64370495425,24.349527414,12.588453692505,10.63806904062,16.763918895,6.51378081824996,9.25602234893998,12.116775969,44.26677468,8.48595919499935,5.50911524400284,12.0272031225,22.502463885,89.946498567,81.214394964,21.0665320177499,172.66572669,183.6807122925,6.8502287556,135.84737657475,33.022709499,236.386033488,127.753916628825,222.39472404996,34.2865106955,207.5607351225,34.811458467,205.5962954475,18.7217100564,26.309998524,90.0097855065,332.060338575,272.822782734,277.618536747,102.17794272,65.846056968,139.992064155,60.00620852025,274.7592790425,186.0744993426,328.6111887,317.0836746,199.21890720495,304.48791618,200.373547185,231.8585311245,19.86510872592,289.879021458,38.0724236586001,320.28280488,185.34573914562,232.675938792,33.0528005595,249.001167843,19.5461397495,161.65879494,29.5437020085,225.828063162,49.005661491,51.803499816,251.115199074,197.6824959408,255.88980297,267.7986494775,296.162567145,296.39531181,21.836678745,251.23771101,294.108718035,34.90938164115,216.37363404,286.462927395,248.749420755,212.9157766665,202.44257022,171.68578761015,194.2053606792,212.08524939,232.364849985,234.856781982,209.5649118054,184.1863401558,155.96347135797,325.524345465,19.6675428217499,13.3998457158,25.9752197184,14.24085700725,253.162138212
