GroupCode,StartStage,MigID,StartTofY,EndTofY,Leave_Period,Return_Period,IsAnnualMigration,MinTimeAway,MaxTimeAway,MigrateStockReturn,MigPropSizeInc,MigPropSurvive,PartialExit,MinAgeLeave,MaxAgeLeave,ReprodAllowed
FCH,0,0,227,140,45,1,1,0,0,0,5.08,1,0,0,0,0
FCH,1,0,165,188,1,1,1,0,0,0,0.2,1,0,0,0,0
FCO,0,0,196,274,44,1,1,0,0,0,2.48,0.25,0,0,0,1
FCO,1,0,319,80,1,1,1,0,0,0,0.18,0.25,0,0,0,1
FCU,0,0,196,274,45,1,1,0,0,0,4.93,0.25,0,0,0,0
FCU,1,0,319,274,1,1,1,0,0,0,0.2,0.2,0,0,0,0
FSS,0,0,227,70,45,1,1,0,0,0,2.48,1,0,0,0,0
FSS,1,0,100,199,1,1,1,0,0,0,0.2,1,0,0,0,0
FPI,0,0,213,10,45,1,1,0,0,0,2.48,0.1,0,0,0,0
FPI,1,0,260,127,1,1,1,0,0,0,0.02,0.1,0,0,0,0
FSO,0,0,213,10,45,1,1,0,0,0,248,0.9,0,0,0,0
FSO,1,0,20,127,1,1,1,0,0,0,0.2,0.7,0,0,0,0
HCH,0,0,227,150,45,1,1,0,0,0,1.68,1,0,0,0,0
HCH,1,0,160,205,1,1,1,0,0,0,0.05,1,0,0,0,0
HCO,0,0,196,274,44,1,1,0,0,0,1.68,1,0,0,0,0
HCO,1,0,319,82,1,1,1,0,0,0,0.05,1,0,0,0,0
HSS,0,0,227,140,45,1,1,0,0,0,1.68,1,0,0,0,0
HSS,1,0,205,338,1,1,1,0,0,0,0,1,0,0,0,0
ORT,0,0,244,60,60,1,1,0,0,0,0.1,1,0,0,0,0
ORT,1,0,244,60,60,1,1,0,0,0,0.002,1,0,0,0,0
WHB,0,0,335,121,30,1,1,0,0,0,0,1,0,0,0,0
WHB,1,0,335,121,30,1,1,0,0,0,0,1,0,0,0,0
